id	label	nationality	date_of_birth	year_of_birth	image
Q11664625	Hiroshi Suda	japan	1931-01-28T00:00:00Z	1931	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Hiroshi_Suda.jpg/200px-Hiroshi_Suda.jpg
Q11664771	Hikozō Sugai	japan	1941-02-10T00:00:00Z	1941	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Hikozo-Sugai20101121.jpg/200px-Hikozo-Sugai20101121.jpg
Q11666537	Tokuji Iida	japan	1924-04-06T00:00:00Z	1924	https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Tokuji_Iida_1950_Scan10002.jpg/200px-Tokuji_Iida_1950_Scan10002.jpg
Q11668749	Shinji Kō	japan	1967-04-16T00:00:00Z	1967	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Koushinji_150829.JPG/200px-Koushinji_150829.JPG
Q11673151	Hiroyoshi Takano	japan	1924-02-24T00:00:00Z	1924	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Hiroyoshi_Takano_1955_Scan10046.jpg/200px-Hiroyoshi_Takano_1955_Scan10046.jpg
Q11675136	Shuntarō Torigoe	japan	1940-03-13T00:00:00Z	1940	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/ShuntaroTorigoe_cropped.jpg/200px-ShuntaroTorigoe_cropped.jpg
Q11675746	Jun Uzawa	japan	1981-10-28T00:00:00Z	1981	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Uzawa_jun_20150104.jpg/200px-Uzawa_jun_20150104.jpg
Q11678665	Yūsuke Kuroda	japan	1986-05-01T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/HT-Yusuke-Kuroda20110506.jpg/200px-HT-Yusuke-Kuroda20110506.jpg
Q11679033	Masaru Saito	japan	1988-01-06T00:00:00Z	1988	https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/齊藤勝.jpg/200px-齊藤勝.jpg
Q11697241	Miyoshi Etsuo	japan	1939-12-16T00:00:00Z	1939	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Miyoshi_Etsuo_-_UK_2003.jpg/200px-Miyoshi_Etsuo_-_UK_2003.jpg
Q11722452	Katsuki Ishihara	japan	1939-03-10T00:00:00Z	1939	https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Katsuki_Ishihara_1960.jpg/200px-Katsuki_Ishihara_1960.jpg
Q12711168	Meru Tashima	japan	2000-01-07T00:00:00Z	2000	https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/HKT48_Fans_Meeting_2015-05-12_@_西九龍中心_(田島芽瑠)_03.jpg/200px-HKT48_Fans_Meeting_2015-05-12_@_西九龍中心_(田島芽瑠)_03.jpg
Q13430870	Sarina Koga	japan	1996-05-21T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sarina_Koga_Japan_Volleyball_team.jpg/200px-Sarina_Koga_Japan_Volleyball_team.jpg
Q14917264	Takuya Murayama	japan	1989-08-08T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/MurayamaT.JPG/200px-MurayamaT.JPG
Q15100841	Takaki Seikaku	japan	1923-07-12T00:00:00Z	1923	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ikuta_Takagi_201311.jpg/200px-Ikuta_Takagi_201311.jpg
Q15121229	Fumihiko Takasaki	japan	1943-11-11T00:00:00Z	1943	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Fumihiko_Takasaki_20050820_2.jpg/200px-Fumihiko_Takasaki_20050820_2.jpg
Q15178511	Nakazumi Yoshio	japan	1921-10-03T00:00:00Z	1921	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Nakazumi_yoshio.jpg/200px-Nakazumi_yoshio.jpg
Q15304363	Yamakawa Hotaka	japan	1991-11-23T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Lions_Hotaka_Yamakawa.JPG/200px-Lions_Hotaka_Yamakawa.JPG
Q15445363	Kōji Sekimizu	japan	1952-12-03T00:00:00Z	1952	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Koji_Sekimizu_-_Flickr_image_8246155851.jpg/200px-Koji_Sekimizu_-_Flickr_image_8246155851.jpg
Q15502549	Masao Yamamoto	japan	1957-01-01T00:00:00Z	1957	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/MasaoYamamoto.jpg/200px-MasaoYamamoto.jpg
Q15714673	Taro Daniel	japan	1993-01-27T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Taro_Daniel_2,_2015_Wimbledon_Qualifying_-_Diliff.jpg/200px-Taro_Daniel_2,_2015_Wimbledon_Qualifying_-_Diliff.jpg
Q16145887	Yoshinaga Arima	japan	1993-10-25T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Yoshinaga_Arima_Training_2014.jpg/200px-Yoshinaga_Arima_Training_2014.jpg
Q16161415	Seika Aoyama	japan	1996-05-01T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seika_Aoyama_2017.jpg/200px-Seika_Aoyama_2017.jpg
Q16161548	Ryōhei Arai	japan	1991-06-23T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/2016-06_Ryohei_Arai_Bislett.jpg/200px-2016-06_Ryohei_Arai_Bislett.jpg
Q16196720	Sumie Inagaki	japan	1966-04-06T00:00:00Z	1966	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/2007SCUltraMarathon_Day1_SumieInagaki.jpg/200px-2007SCUltraMarathon_Day1_SumieInagaki.jpg
Q16212554	Takashi Sanada	japan	1985-06-08T00:00:00Z	1985	https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Takashi_Sanada.JPG/200px-Takashi_Sanada.JPG
Q16224425	Atsushi Yamamoto	japan	1982-04-19T00:00:00Z	1982	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/2013_IPC_Athletics_World_Championships_-_26072013_-_Atsushi_Yamamoto_of_Japan_preparing_for_the_Men's_100m_-_T42.jpg/200px-2013_IPC_Athletics_World_Championships_-_26072013_-_Atsushi_Yamamoto_of_Japan_preparing_for_the_Men's_100m_-_T42.jpg
Q16264802	Takahiro Ōtō	japan	1967-04-18T00:00:00Z	1967	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Otophoto.jpg/200px-Otophoto.jpg
Q16265047	Akihiro Onaga	japan	1987-09-28T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Akihiro_onaga.jpg/200px-Akihiro_onaga.jpg
Q16272326	Takeo Okumura	japan	1920-02-01T00:00:00Z	1920	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Takeo_Okumura.jpg/200px-Takeo_Okumura.jpg
Q16336035	Mitsuko Hase	japan	1931-03-05T00:00:00Z	1931	https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Image_hasse_mitsuko.jpg/200px-Image_hasse_mitsuko.jpg
Q16596828	Shiori Koike	japan	1993-03-21T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/20170416_IIHF_WW_JPNDEN_Shiori_Koike_4769.jpg/200px-20170416_IIHF_WW_JPNDEN_Shiori_Koike_4769.jpg
Q16596833	Akane Konishi	japan	1995-08-14T00:00:00Z	1995	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/20170416_JPNDEN_5152.jpg/200px-20170416_JPNDEN_5152.jpg
Q16596917	Miho Shishiuchi	japan	1992-08-21T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/20170416_JPNDEN_4877.jpg/200px-20170416_JPNDEN_4877.jpg
Q16770033	Masuo Kaneko	japan	1947-01-11T00:00:00Z	1947	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/MasuoKaneko.jpg/200px-MasuoKaneko.jpg
Q16770091	Yūya Kamata	japan	1990-05-11T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Kamata_yuuya.jpg/200px-Kamata_yuuya.jpg
Q16770346	Sumire Kikuchi	japan	1996-01-15T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/12-01-19-yog-021.jpg/200px-12-01-19-yog-021.jpg
Q17129235	Akihiko Katayama	japan	1926-11-11T00:00:00Z	1926	https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Akihiko_Katayama_Scan10010.jpg/200px-Akihiko_Katayama_Scan10010.jpg
Q17129777	Kanako Kukita	japan	1989-03-25T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kanako_Kukita_20181231.jpg/200px-Kanako_Kukita_20181231.jpg
Q17158311	Yūta Kobayashi	japan	1987-06-19T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Kobayashi_yuta.jpg/200px-Kobayashi_yuta.jpg
Q17158509	Sakae Saitō	japan	1963-03-17T00:00:00Z	1963	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Sakae_Saito_20080116.jpg/200px-Sakae_Saito_20080116.jpg
Q17158795	Reika Sakurai	japan	1994-05-16T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Reika_Sakurai_Nogizaka46_HTC_event_20140903.jpg/200px-Reika_Sakurai_Nogizaka46_HTC_event_20140903.jpg
Q17159900	Toshihiro Sugiura	japan	1992-02-25T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Kokugaku_Sugiura.JPG/200px-Kokugaku_Sugiura.JPG
Q17159933	Takako Sugimura	japan	1974-07-25T00:00:00Z	1974	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/杉村貴子.jpg/200px-杉村貴子.jpg
Q17160017	Shōji Suzuki	japan	1970-10-27T00:00:00Z	1970	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/NEO女子プロレス会場にて.jpg/200px-NEO女子プロレス会場にて.jpg
Q17160031	Takako Suzuki	japan	1986-01-05T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/SuzukiTakako.png/200px-SuzukiTakako.png
Q17160970	Shogo Taniguchi	japan	1991-07-15T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Shogo_Taniguchi.jpg/200px-Shogo_Taniguchi.jpg
Q17209576	Shintaro Yokota	japan	1995-06-09T00:00:00Z	1995	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Tigers_yokotashintaro_20150322.JPG/200px-Tigers_yokotashintaro_20150322.JPG
Q17210236	Naomichi Nishiura	japan	1991-04-11T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/20140817_Naomichi_Nisiura,_infielder_of_the_Tokyo_Yakult_Swallows,_at_Yokosuka_Stadium.JPG/200px-20140817_Naomichi_Nisiura,_infielder_of_the_Tokyo_Yakult_Swallows,_at_Yokosuka_Stadium.JPG
Q17211853	TANABON	japan	1974-08-01T00:00:00Z	1974	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/TANABON.jpg/200px-TANABON.jpg
Q17213630	Riku Minato	japan	1993-08-01T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Minato_Riku,_Japanese_porn_actress.jpg/200px-Minato_Riku,_Japanese_porn_actress.jpg
Q17215084	Yōhei Miyake	japan	1978-07-24T00:00:00Z	1978	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Miyakeyohei-ikebukuro-face-july8-2016.jpg/200px-Miyakeyohei-ikebukuro-face-july8-2016.jpg
Q17215445	Aiko Noda	japan	1924-07-05T00:00:00Z	1924	https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Noda_Aiko.JPG/200px-Noda_Aiko.JPG
Q17217071	Minori Hagiwara	japan	1997-03-06T00:00:00Z	1997	"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Hagiwara_Minori_from_""Hello,_Goodbye""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2016_(33514064491).jpg/200px-Hagiwara_Minori_from_""Hello,_Goodbye""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2016_(33514064491).jpg"
Q17218798	Masashi Hosoya	japan	1989-10-02T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Hosoya_masashi.jpg/200px-Hosoya_masashi.jpg
Q17218874	Hazuki	japan	1994-11-21T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/【10分ちょいでわかる新生SIR2015!!】「パチンコリポートアイドル！」メンバー紹介動画【サンスポアイドルリポーターSIR】(葉月).jpg/200px-【10分ちょいでわかる新生SIR2015!!】「パチンコリポートアイドル！」メンバー紹介動画【サンスポアイドルリポーターSIR】(葉月).jpg
Q17219646	TOMURA, USATO	japan	1970-01-01T00:00:00Z	1970	https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Usato_profile.jpg/200px-Usato_profile.jpg
Q17219648	Mika Hori	japan	1992-02-17T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/20170416_JPNDEN_5091.jpg/200px-20170416_JPNDEN_5091.jpg
Q17220003	Senta Morioka	japan	1947-07-12T00:00:00Z	1947	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/森岡仙太.jpg/200px-森岡仙太.jpg
Q17220127	Arisu Morisaki	japan	1991-04-04T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/【2日でマイナス3kg】こんなに減るとは思わなかった【短期集中ダイエット】_26s.jpg/200px-【2日でマイナス3kg】こんなに減るとは思わなかった【短期集中ダイエット】_26s.jpg
Q17225837	Haruna Yuzuki	japan	1992-03-22T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Rorita_Haruna.jpg/200px-Rorita_Haruna.jpg
Q17225942	Ayumu Nakajima	japan	1988-10-07T00:00:00Z	1988	"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Nakajima_Ayumu_from_""It_Girls-_Anytime_Smokin'_Cigarette""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(40169264772).jpg/200px-Nakajima_Ayumu_from_""It_Girls-_Anytime_Smokin'_Cigarette""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(40169264772).jpg"
Q17226182	Takanori Nagase	japan	1993-10-14T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Takanori_Nagase_(2013).jpg/200px-Takanori_Nagase_(2013).jpg
Q17226404	Shingo Hirata	japan	1989-08-29T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/20140727_Singo_Hirata_pitcher_of_the_Yokohama_DeNA_BayStars,at_Meiji_Jingu_Stadium.JPG/200px-20140727_Singo_Hirata_pitcher_of_the_Yokohama_DeNA_BayStars,at_Meiji_Jingu_Stadium.JPG
Q17229111	Masao Tanaka	japan	1927-02-08T00:00:00Z	1927	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Masao_Tanaka_(mangaka)_01.jpg/200px-Masao_Tanaka_(mangaka)_01.jpg
Q17230071	Yako Fujigasaki	japan	1997-05-08T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Yako_Fujigasaki.JPG/200px-Yako_Fujigasaki.JPG
Q17230688	Norihisa Yonezawa	japan	1956-03-12T00:00:00Z	1956	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/帯広競馬場で2016年の年頭挨拶を行っている帯広市の米沢則寿市長（2016年1月1日）.JPG/200px-帯広競馬場で2016年の年頭挨拶を行っている帯広市の米沢則寿市長（2016年1月1日）.JPG
Q17231425	Nobuyuki Nakajima	japan	1969-07-31T00:00:00Z	1969	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Birkin_Gainsbourg_Symphonique_Brest_08.jpg/200px-Birkin_Gainsbourg_Symphonique_Brest_08.jpg
Q17239937	Kaname Kawabata	japan	1979-01-28T00:00:00Z	1979	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Chemistry_Concert_at_Otakon_2011_-_24.jpg/200px-Chemistry_Concert_at_Otakon_2011_-_24.jpg
Q17350213	Tanzō Tokuda	japan	1992-04-13T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Pérenchies_-_Grand_Prix_de_la_ville_de_Pérenchies,_26_juillet_2015_(B092).JPG/200px-Pérenchies_-_Grand_Prix_de_la_ville_de_Pérenchies,_26_juillet_2015_(B092).JPG
Q17686099	Takako Uchida	japan	1942-08-22T00:00:00Z	1942	https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Uchida_Takako-dsc-ep-Iki_na_Neglige.jpg/200px-Uchida_Takako-dsc-ep-Iki_na_Neglige.jpg
Q18637833	Ryota Kohama	japan	1989-09-04T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ryota_Kohama,_One_OK_Rock.JPG/200px-Ryota_Kohama,_One_OK_Rock.JPG
Q18701021	Takuma Kato	japan	1992-04-29T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/2015D39.jpg/200px-2015D39.jpg
Q18817851	Shuta Tonosaki	japan	1992-12-20T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Tonosaki.jpg/200px-Tonosaki.jpg
Q19363236	Akane Haga	japan	2002-03-07T00:00:00Z	2002	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/161006_AMN_빅_콘서트_-_마키노_마리아_모닝구무스메_메들리_직캠_(Akane_Haga)_by_DaftTaengk_4m50s.jpg/200px-161006_AMN_빅_콘서트_-_마키노_마리아_모닝구무스메_메들리_직캠_(Akane_Haga)_by_DaftTaengk_4m50s.jpg
Q19518321	Kazuki Amagai	japan	1990-01-14T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/2016_2017_UCI_Track_World_Cup_Glasgow_13.jpg/200px-2016_2017_UCI_Track_World_Cup_Glasgow_13.jpg
Q19519129	Takehiro Watanabe	japan	1993-07-13T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Takehiro_Watanabe_Lahti_2016.JPG/200px-Takehiro_Watanabe_Lahti_2016.JPG
Q19666438	Toru Yamashita	japan	1988-12-07T00:00:00Z	1988	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Toru_Yamashita,_One_OK_Rock.JPG/200px-Toru_Yamashita,_One_OK_Rock.JPG
Q20040660	Shōdai Naoya	japan	1991-11-05T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Shodai_2015.jpg/200px-Shodai_2015.jpg
Q20643617	Ichiro Yamaguchi	japan	1980-09-08T00:00:00Z	1980	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Sakanaction11-Yamaguchicrop.jpg/200px-Sakanaction11-Yamaguchicrop.jpg
Q20679523	Hideki Seo	japan	1974-05-10T00:00:00Z	1974	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/瀬尾英樹.jpg/200px-瀬尾英樹.jpg
Q20688186	Mina	japan	1997-03-24T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/170303_뮤직뱅크_출근길_트와이스_(3).jpg/200px-170303_뮤직뱅크_출근길_트와이스_(3).jpg
Q20965974	Yuki Matsushita	japan	1991-09-09T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Yuki_Matsushita_Rio_2016.jpg/200px-Yuki_Matsushita_Rio_2016.jpg
Q21286402	Takehiro Tomiyasu	japan	1998-11-05T00:00:00Z	1998	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Takehiro_Tomiyasu,_2019_AFC_Asian_Cup_1.jpg/200px-Takehiro_Tomiyasu,_2019_AFC_Asian_Cup_1.jpg
Q21598366	Yoshiko Takamatsu	japan	1938-04-16T00:00:00Z	1938	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Yoshiko_Takamatsu_1960.JPG/200px-Yoshiko_Takamatsu_1960.JPG
Q21707780	Shun Takayama	japan	1993-04-18T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/2016T9.jpg/200px-2016T9.jpg
Q21931795	Akira Yanase	japan	1988-08-11T00:00:00Z	1988	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Akira_Yanase_Rio2016.jpg/200px-Akira_Yanase_Rio2016.jpg
Q21946854	Ki-Yo	japan	1982-11-22T00:00:00Z	1982	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Ki-yo_-_e_-_vietnam_festival_-_yoyogi_park_-_june_12_2016.jpg/200px-Ki-yo_-_e_-_vietnam_festival_-_yoyogi_park_-_june_12_2016.jpg
Q22123300	Mao Akutsu	japan	1993-12-24T00:00:00Z	1993	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/日本レースクイーン大賞2018_阿久津真央.jpg/200px-日本レースクイーン大賞2018_阿久津真央.jpg
Q22128112	Taishi Hirooka	japan	1997-04-09T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/無題36_廣岡選手.jpg/200px-無題36_廣岡選手.jpg
Q23905070	Akira Itsuki	japan	1994-08-21T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Cosplayer_of_Super_Sonico_at_Comic_Market_82_20120821_2.jpg/200px-Cosplayer_of_Super_Sonico_at_Comic_Market_82_20120821_2.jpg
Q23948907	Saki Satomi	japan	1996-04-28T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Satomi_saki_shogi.jpg/200px-Satomi_saki_shogi.jpg
Q24476023	Ayumi Uekusa	japan	1992-07-25T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ayumi_Uekusa_2018.jpg/200px-Ayumi_Uekusa_2018.jpg
Q24864560	Shotaro Ashino	japan	1990-01-04T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/芦野祥太郎.jpg/200px-芦野祥太郎.jpg
Q24865478	Tomomi Aoki	japan	1994-10-25T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Atletas_da_natação_treinam_no_Estádio_Aquático_(28560791651).jpg/200px-Atletas_da_natação_treinam_no_Estádio_Aquático_(28560791651).jpg
Q24875385	Nanami Hidaka	japan	1991-04-28T00:00:00Z	1991	"https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Hidaka_Nanami_from_""The_Hungry_Lion""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(25331298867).jpg/200px-Hidaka_Nanami_from_""The_Hungry_Lion""_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2017_(25331298867).jpg"
Q24956001	Kleber Koike Erbst	japan	1989-10-16T00:00:00Z	1989	https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Kleber_Koike_Erbst.jpg/200px-Kleber_Koike_Erbst.jpg
Q25266077	Rei Higuchi	japan	1996-01-28T00:00:00Z	1996	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Rei_Higuchi_Rio2016.jpg/200px-Rei_Higuchi_Rio2016.jpg
Q26207589	Natsumi Tomonaga	japan	1991-08-22T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Natsumi_Tomonaga_Rio2016.jpg/200px-Natsumi_Tomonaga_Rio2016.jpg
Q26250216	Masato Sakai	japan	1995-06-06T00:00:00Z	1995	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Masato_Sakai_Rio_2016.jpg/200px-Masato_Sakai_Rio_2016.jpg
Q26472802	Sanae Motokowa	japan	1992-04-02T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Motokawa_sanae.jpg/200px-Motokawa_sanae.jpg
Q27516056	Justin Toshiki Kinjo	japan	1997-02-22T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Justin-Toshiki-Kinjo-2016.jpg/200px-Justin-Toshiki-Kinjo-2016.jpg
Q27804619	Timothy Lafaele	japan	1991-08-19T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Lafaele_Timothy-1.jpg/200px-Lafaele_Timothy-1.jpg
Q27917328	Ogino Izumi	japan	1954-12-30T00:00:00Z	1954	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/荻野いづみ.png/200px-荻野いづみ.png
Q27920468	Zennosuke Yamamoto	japan	1931-04-01T00:00:00Z	1931	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Zennosuke_Yamamoto_S40s.jpg/200px-Zennosuke_Yamamoto_S40s.jpg
Q27979055	Tadasuke Makino	japan	1997-06-28T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/2018_FIA_Formula_2_Championship,_Autodromo_Nazionale_Monza_(31075389108).jpg/200px-2018_FIA_Formula_2_Championship,_Autodromo_Nazionale_Monza_(31075389108).jpg
Q28070812	Toki Sawada	japan	1994-01-12T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/SawadaToki_20161016_Fujimi.jpg/200px-SawadaToki_20161016_Fujimi.jpg
Q28689760	Akira Adachi	japan	1939-05-03T00:00:00Z	1939	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/1964_STV_Ski_Jump_Akira_Adachi.jpg/200px-1964_STV_Ski_Jump_Akira_Adachi.jpg
Q28691676	Minori Fujii	japan	1992-02-22T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/CP+2016-10_(24673960253).jpg/200px-CP+2016-10_(24673960253).jpg
Q30927830	Keita Sano	japan	1994-11-28T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/20170311_Keita_Sano,_infielder_of_the_Yokohama_DeNA_BayStars,_at_Yokohama_Stadium.jpg/200px-20170311_Keita_Sano,_infielder_of_the_Yokohama_DeNA_BayStars,_at_Yokohama_Stadium.jpg
Q30933436	SHO-NO	japan	1994-08-10T00:00:00Z	1994	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/SHO-NO4.jpg/200px-SHO-NO4.jpg
Q33262837	Takahiro Shikine	japan	1997-12-07T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Shikine_Takahiro_CIP_2015_ind_t090313.jpg/200px-Shikine_Takahiro_CIP_2015_ind_t090313.jpg
Q44487704	Setsuko Thurlow	japan	1932-01-03T00:00:00Z	1932	https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Setsuko_Thurlow_on_27_October_2017.jpg/200px-Setsuko_Thurlow_on_27_October_2017.jpg
Q48509846	Seiko Kirishima	japan	1991-12-08T00:00:00Z	1991	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Seiko_Kirishima_180722-01.jpg/200px-Seiko_Kirishima_180722-01.jpg
Q53940325	Mei Kotake	japan	1997-05-18T00:00:00Z	1997	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Climbing_World_Championships_2018_Lead_Final_Kotake_(BT0A2327).jpg/200px-Climbing_World_Championships_2018_Lead_Final_Kotake_(BT0A2327).jpg
Q57314585	Erika Aoi	japan	1992-02-05T00:00:00Z	1992	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/葵井えりか0926.jpg/200px-葵井えりか0926.jpg
